"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
2622,Paris,paris-prestataire-de-mariage-et-papeterie-personnalisee,,2621,"Prestataire de mariage et papeterie personnalisée",prestataire-de-mariage-et-papeterie-personnalisee,
2623,"Vente appareils coiffants",vente-appareils-coiffants,,,,,
2624,"Prestataire de mariage et animation musicale professionnelle",prestataire-de-mariage-et-animation-musicale-professionnelle,,,,,
2625,Paris,paris-prestataire-de-mariage-et-animation-musicale-professionnelle,,2624,"Prestataire de mariage et animation musicale professionnelle",prestataire-de-mariage-et-animation-musicale-professionnelle,
2627,"Coaching développement personnel",coaching-developpement-personnel,,,,,
2628,"Prestataire de mariage et production photo vidéo",prestataire-de-mariage-et-production-photo-video,,,,,
2629,Paris,paris-prestataire-de-mariage-et-production-photo-video,,2628,"Prestataire de mariage et production photo vidéo",prestataire-de-mariage-et-production-photo-video,
2630,"Organisation événements professionnels",organisation-evenements-professionnels,,,,,
2631,Paris,paris-organisation-evenements-professionnels,,2630,"Organisation événements professionnels",organisation-evenements-professionnels,
2632,"Prestataire de mariage - DJ et animation événementielle",prestataire-de-mariage-dj-et-animation-evenementielle,,,,,
2633,Paris,paris-prestataire-de-mariage-dj-et-animation-evenementielle,,2632,"Prestataire de mariage - DJ et animation événementielle",prestataire-de-mariage-dj-et-animation-evenementielle,
2634,"Cosmétiques anti-imperfections",cosmetiques-anti-imperfections,,,,,
2635,"Vente de tabourets et meubles design",vente-de-tabourets-et-meubles-design,,,,,
2636,"Escape game Beauvais",escape-game-beauvais,,,,,
2637,Beauvais,beauvais,,2636,"Escape game Beauvais",escape-game-beauvais,
2639,"Massages bien-être domicile",massages-bien-etre-domicile,,,,,
2640,Champagne-au-Mont-d'Or,champagne-au-mont-dor,,2639,"Massages bien-être domicile",massages-bien-etre-domicile,
2641,"Vente de mobilier et objets de décoration",vente-de-mobilier-et-objets-de-decoration,,,,,
2642,"Vente rhum et spiritueux",vente-rhum-et-spiritueux,,,,,
2643,Paris,paris-vente-rhum-et-spiritueux,,2642,"Vente rhum et spiritueux",vente-rhum-et-spiritueux,
2644,"Prestataire de mariage et papeterie haut de gamme",prestataire-de-mariage-et-papeterie-haut-de-gamme,,,,,
2645,Paris,paris-prestataire-de-mariage-et-papeterie-haut-de-gamme,,2644,"Prestataire de mariage et papeterie haut de gamme",prestataire-de-mariage-et-papeterie-haut-de-gamme,
2646,"Vente de mobilier design et contemporain",vente-de-mobilier-design-et-contemporain,,,,,
2647,"Soins visage corps",soins-visage-corps,,,,,
2648,"Créations décoratives et design original",creations-decoratives-et-design-original,,,,,
2649,"Prestataire de mariage et animation DJ haut de gamme",prestataire-de-mariage-et-animation-dj-haut-de-gamme,,,,,
2650,Paris,paris-prestataire-de-mariage-et-animation-dj-haut-de-gamme,,2649,"Prestataire de mariage et animation DJ haut de gamme",prestataire-de-mariage-et-animation-dj-haut-de-gamme,
2651,"Parfumerie naturelle",parfumerie-naturelle,,,,,
2652,Paris,paris-parfumerie-naturelle,,2651,"Parfumerie naturelle",parfumerie-naturelle,
2653,"Prestataire de mariage",prestataire-de-mariage,,,,,
2654,Paris,paris-prestataire-de-mariage,,2653,"Prestataire de mariage",prestataire-de-mariage,
2655,"Décoration d’intérieur et créations patrimoniales artisanales",decoration-dinterieur-et-creations-patrimoniales-artisanales,,,,,
2656,"Cosmétiques naturels orientaux",cosmetiques-naturels-orientaux,,,,,
2657,"Société d’événementiel",societe-devenementiel,,,,,
2658,Paris,paris-societe-devenementiel,,2657,"Société d’événementiel",societe-devenementiel,
2659,"– Décoration naturelle et art de vivre minimaliste",decoration-naturelle-et-art-de-vivre-minimaliste,,,,,
2660,"Décoration naturelle et art de vivre minimaliste",decoration-naturelle-et-art-de-vivre-minimaliste-2,,,,,
2661,"Organisateur d’événements",organisateur-devenements,,,,,
2662,Paris,paris-organisateur-devenements,,2661,"Organisateur d’événements",organisateur-devenements,
2663,"Vente pièces détachées automobiles",vente-pieces-detachees-automobiles,,,,,
2664,Marseille,marseille-vente-pieces-detachees-automobiles,,2663,"Vente pièces détachées automobiles",vente-pieces-detachees-automobiles,
2665,"Vente pièces détachées scooter",vente-pieces-detachees-scooter,,,,,
2666,"Vente en ligne de pots de fleurs personnalisés",vente-en-ligne-de-pots-de-fleurs-personnalises,,,,,
2667,"Service d’organisation d’événements professionnels",service-dorganisation-devenements-professionnels,,,,,
2668,Paris,paris-service-dorganisation-devenements-professionnels,,2667,"Service d’organisation d’événements professionnels",service-dorganisation-devenements-professionnels,
2670,"Vente injecteurs diesel",vente-injecteurs-diesel,,,,,
2671,Lyon,lyon-vente-injecteurs-diesel,,2670,"Vente injecteurs diesel",vente-injecteurs-diesel,
2672,"Décoration exotique et mobilier du monde",decoration-exotique-et-mobilier-du-monde,,,,,
2673,"Vente en ligne d’objets de décoration",vente-en-ligne-dobjets-de-decoration,,,,,
2674,"luminaires et petit mobilier",luminaires-et-petit-mobilier,,,,,
2675,"Équipements sanitaires design et décoratifs",equipements-sanitaires-design-et-decoratifs,,,,,
2676,"Société d’événementiel ludique",societe-devenementiel-ludique,,,,,
2677,Paris,paris-societe-devenementiel-ludique,,2676,"Société d’événementiel ludique",societe-devenementiel-ludique,
2678,"Décoration artisanale et mobilier design",decoration-artisanale-et-mobilier-design,,,,,
2679,"Vente pièces métalliques sur mesure",vente-pieces-metalliques-sur-mesure,,,,,
2680,Nantes,nantes-vente-pieces-metalliques-sur-mesure,,2679,"Vente pièces métalliques sur mesure",vente-pieces-metalliques-sur-mesure,
2681,"Vente accessoires et vêtements nomades",vente-accessoires-et-vetements-nomades,,,,,
2682,"Décoration d'intérieur et design contemporain",decoration-dinterieur-et-design-contemporain,,,,,
2683,Marseille,marseille-vente-accessoires-et-vetements-nomades,,2681,"Vente accessoires et vêtements nomades",vente-accessoires-et-vetements-nomades,
2684,"Service de location de matériel de soirée",service-de-location-de-materiel-de-soiree,,,,,
2685,Paris,paris-service-de-location-de-materiel-de-soiree,,2684,"Service de location de matériel de soirée",service-de-location-de-materiel-de-soiree,
2686,"Vente épices et produits gourmets",vente-epices-et-produits-gourmets,,,,,
2687,Paris,paris-vente-epices-et-produits-gourmets,,2686,"Vente épices et produits gourmets",vente-epices-et-produits-gourmets,
2688,"Magasin de gâteaux",magasin-de-gateaux,,,,,
2689,"Ville : Paris",ville-paris,,2688,"Magasin de gâteaux",magasin-de-gateaux,
2690,"Impression 3D et objets décoratifs personnalisés",impression-3d-et-objets-decoratifs-personnalises,,,,,
2691,Paris,paris-magasin-de-gateaux,,2688,"Magasin de gâteaux",magasin-de-gateaux,
2692,"Travaux généraux et rénovation haut de gamme",travaux-generaux-et-renovation-haut-de-gamme,,,,,
2693,Paris,paris-travaux-generaux-et-renovation-haut-de-gamme,,2692,"Travaux généraux et rénovation haut de gamme",travaux-generaux-et-renovation-haut-de-gamme,
2694,"Travaux généraux",travaux-generaux,,,,,
2695,"rénovation et conformité du bâtiment",renovation-et-conformite-du-batiment,,,,,
2696,Paris,paris-renovation-et-conformite-du-batiment,,2695,"rénovation et conformité du bâtiment",renovation-et-conformite-du-batiment,
2697,"Cartes décoratives et design mural",cartes-decoratives-et-design-mural,,,,,
2699,"Décoration écoresponsable et mobilier durable",decoration-ecoresponsable-et-mobilier-durable,,,,,
2700,"Ébénisterie et agencement intérieur sur mesure",ebenisterie-et-agencement-interieur-sur-mesure,,,,,
2702,"Décoration murale personnalisée et impression grand format",decoration-murale-personnalisee-et-impression-grand-format,,,,,
2703,"Vente et pose de carrelage design et décoratif",vente-et-pose-de-carrelage-design-et-decoratif,,,,,
2704,"Décoration intérieure et luminaires design",decoration-interieure-et-luminaires-design,,,,,
2705,"Revêtements muraux décoratifs et acoustiques",revetements-muraux-decoratifs-et-acoustiques,,,,,
2706,"rénovation et maîtrise d’œuvre",renovation-et-maitrise-doeuvre,,,,,
2707,"Décoration mobilier artisanal et art de la table",decoration-mobilier-artisanal-et-art-de-la-table,,,,,
2708,"Travaux généraux et rénovation immobilière",travaux-generaux-et-renovation-immobiliere,,,,,
2709,Paris,paris-travaux-generaux-et-renovation-de-batiments,,2566,"Travaux généraux et rénovation de bâtiments",travaux-generaux-et-renovation-de-batiments,
2710,Paris,paris-travaux-generaux-et-renovation-immobiliere,,2708,"Travaux généraux et rénovation immobilière",travaux-generaux-et-renovation-immobiliere,
2711,"Décoration et mobilier contemporain",decoration-et-mobilier-contemporain,,,,,
2712,"Travaux généraux et accompagnement bâtiment",travaux-generaux-et-accompagnement-batiment,,,,,
3167,Paris,paris-travaux-generaux-et-accompagnement-batiment,,2712,"Travaux généraux et accompagnement bâtiment",travaux-generaux-et-accompagnement-batiment,
5056,Toulouse,toulouse-travaux-damenagement-et-decoration-interieure,,2539,"Travaux d’aménagement et décoration intérieure",travaux-damenagement-et-decoration-interieure,
6265,"sols techniques et rénovation",sols-techniques-et-renovation,,,,,
6589,Paris,paris-sols-techniques-et-renovation,,6265,"sols techniques et rénovation",sols-techniques-et-renovation,
6591,Angers,angers,,2544,"Décoration murale et chambres d’enfants",decoration-murale-et-chambres-denfants,
6592,Lille,lille-enseignes-lumineuses-et-decoration-led-sur-mesure,,2547,"Enseignes lumineuses et décoration LED sur mesure",enseignes-lumineuses-et-decoration-led-sur-mesure,
6593,"Vente et distribution de canapés et mobilier d’intérieur",vente-et-distribution-de-canapes-et-mobilier-dinterieur,,,,,
6595,"Vente en ligne de parquets et accessoires",vente-en-ligne-de-parquets-et-accessoires,,,,,
6596,"Plateforme de brocante &amp; antiquités en ligne",plateforme-de-brocante-antiquites-en-ligne,,,,,
6598,"Vente en ligne de mobilier luminaires et décoration",vente-en-ligne-de-mobilier-luminaires-et-decoration,,,,,
6599,"Travaux généraux et rénovation tous corps d’état",travaux-generaux-et-renovation-tous-corps-detat,,,,,
6600,Paris,paris-travaux-generaux-et-renovation-tous-corps-detat,,6599,"Travaux généraux et rénovation tous corps d’état",travaux-generaux-et-renovation-tous-corps-detat,
6601,"Meubles &amp; Décoration",meubles-decoration,,,,,
